URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,DNS_QUERY_TIMES,Type
25,6,UTF-8,Apache,195,GB,WEST MIDLANDS,16/07/2016 0:00,22/12/2016 0:00,0,-1
25,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,27/11/2016 19:09,1/02/2017 0:01,0,-1
25,6,ISO-8859-1,Apache,-1,US,California,30/10/2009 0:00,27/10/2016 0:00,0,-1
26,8,UTF-8,nginx,-1,Unknown,Unknown,12/03/2009 21:00,Unknown,2,1
26,8,utf-8,nginx,-1,Unknown,Unknown,9/03/2000 17:50,Unknown,2,1
26,7,ISO-8859-1,nginx/1.12.0,4166,US,TEXAS,30/05/2008 0:00,30/05/2016 0:00,6,1
26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,25/09/2000 0:00,18/07/2016 0:00,2,1
26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,4,1
26,7,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,GB,WC1N,9/04/2002 0:00,10/04/2017 0:00,4,1
26,6,utf-8,nginx,2688,US,Kentucky,11/01/1997 0:00,30/04/2015 0:00,0,-1
26,7,UTF-8,cloudflare-nginx,-1,US,MD,11/06/2000 0:00,3/03/2017 0:00,0,-1
26,6,UTF-8,nginx,-1,CA,ON,13/02/2002 19:55,23/02/2017 17:46,0,-1
26,6,iso-8859-1,Apache,199,PA,PANAMA,19/12/2007 0:00,21/11/2016 0:00,0,-1
26,6,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3548,Unknown,Unknown,6/11/1997 0:00,6/11/2016 0:00,6,-1
26,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,4,-1
26,6,Unknown,tsa_c,0,US,CA,21/01/2000 0:00,8/11/2016 0:00,10,-1
26,6,ISO-8859-1,nginx/1.12.0,5426,US,NEW YORK,27/04/2009 0:00,27/02/2017 0:00,0,-1
26,7,utf-8,Apache/2.2.0 (Fedora),-1,Unknown,Unknown,11/10/2000 0:00,12/12/2016 0:00,0,-1
26,6,UTF-8,Unknown,-1,CA,British Columbia,4/08/1998 0:00,10/04/2017 0:00,0,-1
26,6,iso-8859-1,Apache/2,345,US,FL,31/05/2000 0:00,2/04/2014 0:00,4,-1
26,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,4,-1
26,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,4,-1
26,6,utf-8,cloudflare-nginx,-1,US,Washington,23/10/1999 0:00,13/08/2016 0:00,4,-1
26,6,ISO-8859-1,nginx/1.12.0,-1,US,Colorado,23/06/2010 0:00,23/04/2015 0:00,0,-1
26,6,us-ascii,Unknown,324,US,TX,9/03/2000 0:00,13/02/2014 0:00,0,-1
26,6,UTF-8,cloudflare-nginx,-1,US,PA,13/04/1994 0:00,13/03/2017 0:00,0,-1
26,6,UTF-8,nginx,-1,US,LA,9/06/2010 0:00,21/06/2016 0:00,0,-1
26,6,utf-8,nginx/1.12.0,-1,US,Arizona,29/04/2009 0:00,8/03/2017 0:00,0,-1
27,7,UTF-8,Apache/2.2.22 (Debian),8756,GB,WC1N,16/06/2000 0:00,16/02/2016 0:00,6,1
27,7,UTF-8,Apache,193,US,PA,19/01/2015 0:00,3/03/2017 0:00,2,1
27,8,UTF-8,nginx,-1,US,WA,11/11/2015 0:00,13/03/2017 0:00,0,-1
27,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,CO,22/03/2017 0:00,23/03/2017 0:00,0,-1
27,6,utf-8,openresty/1.11.2.1,-1,US,TEXAS,3/11/2009 0:00,4/03/2017 0:00,0,-1
27,6,UTF-8,Apache/2.2.15 (CentOS),-1,AU,Queensland,19/07/2010 20:03,20/09/2016 13:11,6,-1
27,6,UTF-8,Apache/2.4.25,7967,Unknown,Unknown,28/04/1997 0:00,24/04/2017 0:00,2,-1
27,7,ISO-8859-1,Apache,11506,US,FL,4/03/1996 0:00,7/01/2015 0:00,0,-1
28,9,UTF-8,Apache/2.2.15 (CentOS),-1,RU,MOSCOW,24/10/2007 0:00,22/10/2016 0:00,2,1
28,7,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,21/10/2004 0:00,14/10/2014 0:00,4,1
28,8,utf-8,nginx,39036,[u'GB'; u'UK'],UK,2002-03-20T23:59:59.0Z,2017-03-07T22:02:38.0Z,0,-1
28,6,ISO-8859-1,Unknown,-1,US,CA,29/03/1997 0:00,29/11/2016 0:00,0,-1
28,7,iso-8859-1,Apache,-1,FR,Unknown,10/06/2008 0:00,9/06/2016 0:00,0,-1
28,7,ISO-8859-1,cloudflare-nginx,-1,NL,P,30/11/1999 0:00,6/03/2017 0:00,0,-1
28,7,us-ascii,Unknown,-1,US,NH,30/08/2004 0:00,18/08/2016 0:00,0,-1
28,7,ISO-8859-1,cloudflare-nginx,-1,NL,P,30/11/1999 0:00,6/03/2017 0:00,0,-1
28,6,us-ascii,Microsoft-IIS/7.5,324,US,Pennsylvania,11/11/1996 0:00,27/04/2015 0:00,0,-1
28,7,utf-8,Apache,8578,CA,ON,2/10/1995 4:00,30/09/2016 9:12,8,-1
28,6,UTF-8,Apache,10576,IN,UTTAR PRADESH,28/06/2011 0:00,2/03/2017 0:00,0,-1
28,7,us-ascii,Microsoft-IIS/7.5,324,Unknown,Unknown,16/08/2016 0:00,26/03/2017 0:00,6,-1
28,7,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,12846,US,NC,9/05/2000 17:31,11/10/2016 0:20,6,-1
28,7,UTF-8,GSE,6666,US,CA,31/07/2000 0:00,29/06/2016 0:00,4,-1
28,6,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,445,US,FL,14/05/1999 0:00,2/04/2014 0:00,2,-1
28,8,UTF-8,Apache,-1,US,Arizona,24/04/2009 0:00,18/03/2017 0:00,2,-1
28,7,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,Unknown,Unknown,6,-1
28,6,utf-8,Pepyaka/1.11.3,-1,US,NY,6/08/1998 0:00,7/11/2014 0:00,0,-1
28,6,utf-8,Unknown,-1,US,CA,22/02/1996 0:00,16/01/2015 0:00,4,-1
28,6,UTF-8,nginx,18438,US,California,15/06/2007 0:00,12/05/2015 0:00,0,-1
29,7,ISO-8859-1,Apache,7314,US,MD,21/09/2009 0:00,9/08/2016 0:00,6,1
29,7,us-ascii,Microsoft-HTTPAPI/2.0,324,UG,kireka,9/04/2002 0:00,18/04/2017 0:00,2,1
29,6,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,0,-1
29,6,Unknown,tsa_c,0,US,CA,21/01/2000 0:00,8/11/2016 0:00,0,-1
29,8,ISO-8859-1,Apache,9136,US,CA,20/01/1995 0:00,22/11/2016 0:00,0,-1
29,6,UTF-8,Apache,5019,US,IL,28/03/2006 0:00,24/02/2017 0:00,0,-1
29,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,0,-1
29,6,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210,US,Missouri,28/09/2007 16:06,28/03/2017 18:24,0,-1
29,6,UTF-8,Apache/2.2.22 (Debian),8654,JP,Osaka,4/02/2017 0:00,4/02/2017 0:00,0,-1
29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),238,CA,QC,7/03/1996 0:00,9/03/2017 0:00,0,-1
29,6,ISO-8859-1,Apache,26856,Unknown,Unknown,4/04/2003 0:00,5/04/2017 0:00,4,-1
29,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,Michigan,26/08/2015 0:00,26/08/2016 0:00,0,-1
29,7,UTF-8,Apache/2.2.22,-1,CA,AB,22/07/2004 0:00,23/06/2016 0:00,0,-1
29,6,UTF-8,Apache,10210,US,CA,30/11/2004 0:00,7/03/2017 0:00,0,-1
29,6,ISO-8859-1,Apache,13684,US,Maryland,5/03/2008 0:00,14/04/2016 0:00,0,-1
29,6,us-ascii,Unknown,324,CA,Ontario,8/05/2003 0:00,9/05/2016 0:00,0,-1
29,6,iso-8859-1,nginx/1.12.0,770,US,South Carolina,2/11/2010 21:52,20/10/2015 23:34,0,-1
29,8,UTF-8,Apache/2.4.25,6813,US,Texas,23/05/2006 0:00,13/07/2016 0:00,0,-1
29,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,2/07/1998 0:00,5/07/2016 0:00,4,-1
29,6,ISO-8859-1,Unknown,34,US,California,2/12/1998 0:00,2/12/2016 0:00,2,-1
29,7,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,6,-1
29,8,UTF-8,GSE,20404,US,CA,31/07/2000 0:00,29/06/2016 0:00,4,-1
29,8,UTF-8,Tengine,-1,CN,Zhejiang,15/04/1999 0:00,20/06/2012 0:00,8,-1
29,6,UTF-8,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,7159,US,Arizona,30/05/2003 0:00,10/07/2015 0:00,2,-1
29,6,utf-8,Apache/2.2.15 (CentOS),-1,US,New Mexico,10/01/2002 0:57,26/02/2014 23:35,4,-1
29,6,iso-8859-1,Apache,388,US,New York,17/03/2006 0:00,14/08/2013 0:00,0,-1
29,6,ISO-8859-1,Apache/2,199,Unknown,Unknown,1/03/1999 0:00,7/03/2013 0:00,0,-1
29,8,us-ascii,Microsoft-HTTPAPI/2.0,324,AU,QLD,1/07/2015 0:00,4/03/2016 0:00,0,-1
29,6,ISO-8859-1,nginx/1.12.0,-1,CA,ON,22/01/2006 0:00,22/01/2017 0:00,0,-1
29,6,utf-8,Unknown,-1,US,CA,22/02/1996 0:00,16/01/2015 0:00,0,-1
30,8,iso-8859-1,Apache,177,Unknown,Unknown,Unknown,Unknown,2,1
30,6,utf-8,Apache/2.4.10 (Debian),-1,SE,Unknown,6/03/1996 5:00,28/10/2013 10:54,0,-1
30,6,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,199,US,MA,8/02/2013 0:00,15/03/2017 0:00,0,-1
30,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,4,-1
30,6,ISO-8859-1,Unknown,-1,US,CA,29/03/1997 0:00,29/11/2016 0:00,14,-1
30,6,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,6,-1
30,6,ISO-8859-1,Sun-ONE-Web-Server/6.1,-1,Unknown,Unknown,15/04/2003 0:00,19/02/2016 0:00,0,-1
30,6,Unknown,Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,-1,US,WI,24/10/1996 0:00,19/10/2016 0:00,0,-1
30,6,UTF-8,Apache,14703,US,Texas,4/08/1998 0:00,4/09/2013 0:00,0,-1
30,6,UTF-8,nginx,8751,US,FL,30/04/2016 0:00,4/10/2016 0:00,4,-1
30,6,us-ascii,Microsoft-HTTPAPI/2.0,324,US,NJ,30/12/1999 0:00,8/01/2016 0:00,2,-1
30,7,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,6,-1
30,6,utf-8,Unknown,-1,US,CA,22/02/1996 0:00,16/01/2015 0:00,8,-1
30,6,ISO-8859-1,Unknown,-1,US,CA,29/03/1997 0:00,29/11/2016 0:00,12,-1
30,7,utf-8,AmazonS3,350,US,Arizona,13/07/2001 0:00,26/04/2015 0:00,4,-1
30,7,ISO-8859-1,Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1,-1,US,GA,29/05/1996 0:00,21/03/2017 0:00,4,-1
30,8,UTF-8,cloudflare-nginx,-1,US,CA,25/02/2004 0:00,16/01/2016 0:00,0,-1
30,6,utf-8,Unknown,-1,US,CA,22/02/1996 0:00,16/01/2015 0:00,0,-1
30,7,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,0,-1
31,7,us-ascii,Microsoft-IIS/7.5,324,US,CA,9/04/2002 0:00,20/03/2017 0:00,4,1
31,8,utf-8,ATS,604,US,CA,18/01/1995 0:00,26/08/2015 0:00,0,-1
31,7,iso-8859-1,Apache/2.2.27 (CentOS),287,Unknown,Unknown,25/10/2014 0:00,26/10/2016 0:00,0,-1
31,7,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,0,-1
31,8,utf-8,Apache,65815,US,MO,20/05/1996 0:00,24/10/2016 0:00,0,-1
31,6,ISO-8859-1,Unknown,-1,US,CA,29/03/1997 0:00,29/11/2016 0:00,12,-1
31,6,UTF-8,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,-1,Unknown,Unknown,14/07/2000 0:00,22/03/2017 0:00,0,-1
31,7,utf-8,CherryPy/3.6.0,4075,CA,ON,1/12/1996 5:00,30/11/2016 10:30,0,-1
31,8,iso-8859-1,Apache/2.2.15 (CentOS),287,IN,HR,11/11/2000 0:00,3/05/2012 0:00,4,-1
31,7,utf-8,nginx,-1,US,NY,23/03/1995 0:00,3/03/2017 0:00,4,-1
31,7,UTF-8,Apache/2.2.15 (Red Hat),5132,US,FL,4/09/2004 0:00,24/08/2016 0:00,6,-1
31,6,us-ascii,Microsoft-IIS/7.5,324,US,Missouri,9/09/2005 13:44,10/09/2016 13:29,6,-1
31,6,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,Unknown,Unknown,4,-1
31,6,ISO-8859-1,Apache,-1,Unknown,Unknown,22/04/1997 0:00,22/02/2017 0:00,6,-1
31,8,us-ascii,Microsoft-HTTPAPI/2.0,324,US,FL,7/08/1996 0:00,14/05/2015 0:00,2,-1
31,6,UTF-8,Apache,-1,US,MD,30/12/2005 0:00,5/11/2015 0:00,2,-1
31,7,ISO-8859-1,Unknown,-1,US,CA,29/03/1997 0:00,29/11/2016 0:00,12,-1
31,7,utf-8,Apache,22004,US,CA,4/04/2006 0:00,3/03/2017 0:00,0,-1
31,6,ISO-8859-1,Apache,-1,US,CA,22/04/1997 0:00,22/02/2017 0:00,0,-1
31,7,iso-8859-1,Apache/2,345,US,Texas,25/05/2000 0:00,24/05/2016 0:00,0,-1
32,11,UTF-8,nginx,643,Unknown,Unknown,Unknown,Unknown,8,1
32,9,UTF-8,nginx,637,Unknown,Unknown,Unknown,Unknown,6,1
32,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,0,-1
32,6,ISO-8859-1,Unknown,34,US,Missouri,9/07/2008 0:00,14/07/2008 0:00,0,-1
32,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,0,-1
32,9,utf-8,KHL,420762,Unknown,Unknown,10/05/2006 20:00,Unknown,2,-1
32,8,ISO-8859-1,Apache,1399,US,CA,29/07/2006 0:00,7/08/2015 0:00,0,-1
32,6,UTF-8,Apache,-1,CA,ab,27/09/2010 0:00,28/09/2016 0:00,0,-1
32,7,UTF-8,nginx,-1,US,NY,31/10/2008 0:00,1/12/2016 0:00,0,-1
32,7,UTF-8,nginx,-1,US,CA,3/03/2000 0:00,12/01/2017 0:00,6,-1
32,7,ISO-8859-1,Unknown,-1,US,CA,29/03/1997 0:00,29/11/2016 0:00,12,-1
32,8,UTF-8,Apache,-1,Unknown,Unknown,2/04/2008 0:00,23/01/2017 0:00,4,-1
32,6,utf-8,Unknown,-1,Unknown,Unknown,22/02/1996 0:00,16/01/2015 0:00,0,-1
32,8,utf-8,Microsoft-IIS/7.5,328,UK,Greater London,6/09/2016 0:00,12/03/2017 0:00,0,-1
32,7,UTF-8,Apache,-1,US,Illinois,11/02/1997 0:00,10/09/2012 0:00,8,-1
32,8,us-ascii,Microsoft-HTTPAPI/2.0,324,Unknown,Unknown,6/08/1995 0:00,24/07/2012 0:00,0,-1
32,6,iso-8859-1,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,199,US,Kansas,23/10/2008 0:00,3/03/2017 0:00,0,-1
32,8,iso-8859-1,Apache,334,SI,--,19/02/2009 0:00,22/12/2015 0:00,2,-1
32,7,iso-8859-1,Apache/2.2.3 (CentOS),287,US,MO,30/08/1998 0:00,22/12/2016 0:00,2,-1
32,7,utf-8,Apache,20212,US,CA,4/04/2006 0:00,3/03/2017 0:00,6,-1
32,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,4,-1
32,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,4,-1
32,7,utf-8,Unknown,-1,Unknown,Unknown,14/12/2006 0:00,13/12/2016 0:00,4,-1
32,7,UTF-8,GSE,11827,US,CA,31/07/2000 0:00,29/06/2016 0:00,4,-1
32,8,ISO-8859-1,nginx/1.12.0,1108,US,California,22/03/2005 3:36,22/03/2017 3:37,4,-1
32,7,us-ascii,Unknown,324,US,Arizona,26/06/2009 0:00,29/03/2017 0:00,0,-1
33,11,UTF-8,nginx,646,Unknown,Unknown,Unknown,Unknown,4,1
33,9,UTF-8,nginx,637,Unknown,Unknown,Unknown,Unknown,8,1
33,9,UTF-8,nginx,640,Unknown,Unknown,Unknown,Unknown,6,1
33,9,UTF-8,nginx,643,Unknown,Unknown,Unknown,Unknown,0,1
33,9,UTF-8,nginx,-1,Unknown,Unknown,9/02/2000 14:17,Unknown,4,1
33,11,utf-8,nginx,-1,Unknown,Unknown,8/06/2007 0:00,18/09/2012 0:00,4,1
33,7,utf-8,cloudflare-nginx,-1,US,NY,1/11/1994 0:00,27/10/2015 0:00,0,-1
33,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,0,-1
33,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,0,-1
33,6,utf-8,Unknown,-1,US,CA,22/02/1996 0:00,16/01/2015 0:00,0,-1
33,6,iso-8859-1,Apache,-1,JP,Fukuoka,8/08/2013 0:00,26/07/2016 0:00,0,-1
33,6,utf-8,Apache/2.4,19890,CA,BC,20/04/2000 0:00,25/04/2017 0:00,0,-1
33,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,-1,US,California,21/02/1995 0:00,19/02/2017 0:00,0,-1
33,9,utf-8,Unknown,18302,US,CA,29/05/1996 0:00,26/04/2016 0:00,0,-1
33,7,iso-8859-1,Apache,318,JP,Osaka,12/11/2016 0:00,16/11/2016 0:00,0,-1
33,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,4,-1
33,7,iso-8859-1,Apache/1.3.27 (Unix)  (Red-Hat/Linux) mod_perl/1.26 PHP/4.3.3 FrontPage/5.0.2 mod_ssl/2.8.12 OpenSSL/0.9.6b,-1,Unknown,Unknown,8/02/2000 0:00,31/10/2016 0:00,0,-1
33,6,utf-8,Apache,-1,US,Texas,25/09/2003 0:00,18/07/2014 0:00,0,-1
33,8,UTF-8,mw2114.codfw.wmnet,-1,US,CA,13/01/2001 0:12,12/12/2015 10:16,8,-1
33,7,UTF-8,GSE,60722,US,CA,31/07/2000 0:00,29/06/2016 0:00,0,-1
33,6,UTF-8,Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_perl/2.0.8 Perl/v5.10.1,-1,US,Arizona,10/05/2002 0:00,27/07/2016 0:00,0,-1
33,6,ISO-8859-1,Apache/1.3.34 (Unix) PHP/4.4.4,-1,US,FL,7/06/2005 0:00,23/05/2016 0:00,0,-1
33,8,UTF-8,Server,-1,US,WA,5/01/1996 0:00,5/05/2016 0:00,0,-1
33,6,UTF-8,Microsoft-IIS/7.5,39,US,AL,19/08/2012 0:00,24/06/2016 0:00,4,-1
